station_id,lat,lon,coords
700,46.53125489706996,6.601886023564116,"(46.53125489706996, 6.601886023564116)"
239,46.7931454,7.1322764,"(46.7931454, 7.1322764)"
357,47.370141,8.527298,"(47.370141, 8.527298)"
89,47.3713591,8.5313344,"(47.3713591, 8.5313344)"
332,46.943804,7.4694264,"(46.943804, 7.4694264)"
130,47.391366,8.488108,"(47.391366, 8.488108)"
444,47.375247,8.496511,"(47.375247, 8.496511)"
840,46.80036467702836,7.175555914805134,"(46.80036467702836, 7.175555914805134)"
296,46.9439259,7.3853056,"(46.9439259, 7.3853056)"
329,46.94167,7.42598,"(46.94167, 7.42598)"
23,46.5175143,6.5261484,"(46.5175143, 6.5261484)"
418,46.92878380186514,7.44610102408428,"(46.92878380186514, 7.44610102408428)"
258,46.9475995,7.4473498,"(46.9475995, 7.4473498)"
411,46.9257473,7.3770699,"(46.9257473, 7.3770699)"
104,47.373935,8.538633,"(47.373935, 8.538633)"
164,47.387531,8.527138,"(47.387531, 8.527138)"
180,46.9477116,7.3774722,"(46.9477116, 7.3774722)"
18,46.5367962297447,6.57834071739537,"(46.5367962297447, 6.57834071739537)"
580,46.800445,7.122294,"(46.800445, 7.122294)"
240,46.7899747,7.1160135,"(46.7899747, 7.1160135)"
260,46.9486794,7.4532728,"(46.9486794, 7.4532728)"
42,45.998453,8.94848,"(45.998453, 8.94848)"
206,45.982042,8.883593,"(45.982042, 8.883593)"
298,46.9427331,7.4595458,"(46.9427331, 7.4595458)"
255,46.9526864,7.4299899,"(46.9526864, 7.4299899)"
592,46.93718143594243,7.4393978740610605,"(46.93718143594243, 7.4393978740610605)"
809,46.530961547725724,6.570954143053104,"(46.530961547725724, 6.570954143053104)"
878,46.948670967854916,7.408147339558864,"(46.948670967854916, 7.408147339558864)"
186,46.9493284,7.3939866,"(46.9493284, 7.3939866)"
168,46.417718,6.267441,"(46.417718, 6.267441)"
884,46.973323,7.484832,"(46.973323, 7.484832)"
824,46.95626329415468,7.482893566913186,"(46.95626329415468, 7.482893566913186)"
616,46.975958,7.472646,"(46.975958, 7.472646)"
191,46.960116251597235,7.454334866797193,"(46.960116251597235, 7.454334866797193)"
556,47.391289,8.537546,"(47.391289, 8.537546)"
795,46.80627599825691,7.175202933966421,"(46.80627599825691, 7.175202933966421)"
13,46.517153,6.561272,"(46.517153, 6.561272)"
435,46.009713,8.96008,"(46.009713, 8.96008)"
749,46.01839064983639,8.952667134728758,"(46.01839064983639, 8.952667134728758)"
27,46.50225151684113,6.48110823288,"(46.50225151684113, 6.48110823288)"
30,46.511048,6.492569,"(46.511048, 6.492569)"
32,46.510581,6.496026,"(46.510581, 6.496026)"
504,46.799339,7.151984,"(46.799339, 7.151984)"
664,46.011494,8.961011,"(46.011494, 8.961011)"
327,46.938964,7.4476281,"(46.938964, 7.4476281)"
565,47.381149,8.532405,"(47.381149, 8.532405)"
84,47.3789825,8.5412505,"(47.3789825, 8.5412505)"
561,47.413733,8.541541,"(47.413733, 8.541541)"
286,47.3985553,8.493822,"(47.3985553, 8.493822)"
788,46.52285180329474,6.616691677562492,"(46.52285180329474, 6.616691677562492)"
629,46.009397,8.931591,"(46.009397, 8.931591)"
619,46.016072,8.941042,"(46.016072, 8.941042)"
674,46.93357261917911,7.505070609131323,"(46.93357261917911, 7.505070609131323)"
474,46.9501048,7.4283779,"(46.9501048, 7.4283779)"
347,46.941479,7.466444,"(46.941479, 7.466444)"
389,47.413032,8.558096,"(47.413032, 8.558096)"
490,46.534129,6.606292,"(46.534129, 6.606292)"
479,46.9581458,7.4349895,"(46.9581458, 7.4349895)"
456,46.965031,7.4589906,"(46.965031, 7.4589906)"
241,46.794798,7.114034,"(46.794798, 7.114034)"
87,47.371083,8.536101,"(47.371083, 8.536101)"
361,47.394554,8.522117,"(47.394554, 8.522117)"
182,46.96274,7.46276,"(46.96274, 7.46276)"
804,46.979405440906326,7.457189997936046,"(46.979405440906326, 7.457189997936046)"
826,46.988369990781095,7.463319968143853,"(46.988369990781095, 7.463319968143853)"
96,47.378548,8.531836,"(47.378548, 8.531836)"
839,46.52877795845398,6.614257776560184,"(46.52877795845398, 6.614257776560184)"
25,46.51729603169255,6.630497103216617,"(46.51729603169255, 6.630497103216617)"
548,46.944243,7.399437,"(46.944243, 7.399437)"
665,46.92962527658024,7.4209414544658925,"(46.92962527658024, 7.4209414544658925)"
80,47.3795837,8.5156327,"(47.3795837, 8.5156327)"
675,46.95906857,7.47775778,"(46.95906857, 7.47775778)"
368,47.3619068,8.5609218,"(47.3619068, 8.5609218)"
467,46.93992,7.3950333,"(46.93992, 7.3950333)"
150,47.359884,8.523071,"(47.359884, 8.523071)"
127,47.361567,8.525525,"(47.361567, 8.525525)"
483,46.9390885,7.4286407,"(46.9390885, 7.4286407)"
169,46.4223802,6.2585274,"(46.4223802, 6.2585274)"
726,46.9647833374251,7.4484037810233445,"(46.9647833374251, 7.4484037810233445)"
845,45.9987921421312,8.93937873151315,"(45.9987921421312, 8.93937873151315)"
207,46.001154,8.934162,"(46.001154, 8.934162)"
841,46.938446718314495,7.4808033698062095,"(46.938446718314495, 7.4808033698062095)"
201,46.95602789210635,7.425797884262834,"(46.95602789210635, 7.425797884262834)"
137,47.370869,8.548045,"(47.370869, 8.548045)"
740,46.99128453561965,7.46742522413544,"(46.99128453561965, 7.46742522413544)"
602,47.000176,7.461966,"(47.000176, 7.461966)"
126,47.381356,8.510418,"(47.381356, 8.510418)"
273,47.389862,8.514605,"(47.389862, 8.514605)"
775,46.33961592685363,6.171960914015045,"(46.33961592685363, 6.171960914015045)"
807,46.52654734920485,6.64111195901793,"(46.52654734920485, 6.64111195901793)"
562,47.370238,8.514841,"(47.370238, 8.514841)"
209,46.022676,8.917196,"(46.022676, 8.917196)"
45,46.023159,8.959919,"(46.023159, 8.959919)"
370,47.4039985,8.5721264,"(47.4039985, 8.5721264)"
129,47.379952,8.542726,"(47.379952, 8.542726)"
453,47.3836391,8.4941268,"(47.3836391, 8.4941268)"
33,46.512991,6.614122,"(46.512991, 6.614122)"
694,45.849794,8.944964,"(45.849794, 8.944964)"
695,45.848177,8.936794,"(45.848177, 8.936794)"
644,46.776964,7.16038,"(46.776964, 7.16038)"
143,47.3899,8.523722,"(47.3899, 8.523722)"
817,46.51673942261787,6.566454652605652,"(46.51673942261787, 6.566454652605652)"
356,47.380319,8.552615,"(47.380319, 8.552615)"
673,46.931588810237784,7.485518127326376,"(46.931588810237784, 7.485518127326376)"
611,46.38362,6.23574,"(46.38362, 6.23574)"
90,47.3917964,8.5056978,"(47.3917964, 8.5056978)"
263,47.359978,8.552717,"(47.359978, 8.552717)"
31,46.50737,6.495352,"(46.50737, 6.495352)"
464,46.9523752,7.3914921,"(46.9523752, 7.3914921)"
530,47.40462,8.60465,"(47.40462, 8.60465)"
37,46.537813,6.581462,"(46.537813, 6.581462)"
295,46.9371056,7.4178248,"(46.9371056, 7.4178248)"
482,46.9364423,7.437876,"(46.9364423, 7.437876)"
552,46.952701,7.454585,"(46.952701, 7.454585)"
669,46.99202428819717,7.457368930354201,"(46.99202428819717, 7.457368930354201)"
276,47.414545,8.552747,"(47.414545, 8.552747)"
277,47.413514,8.537816,"(47.413514, 8.537816)"
93,47.384918,8.531935,"(47.384918, 8.531935)"
99,47.37497,8.519782,"(47.37497, 8.519782)"
248,45.993326,8.924532,"(45.993326, 8.924532)"
756,46.370779,6.228414,"(46.370779, 6.228414)"
667,46.99996912619948,7.442087059202756,"(46.99996912619948, 7.442087059202756)"
463,46.9593467,7.4518043,"(46.9593467, 7.4518043)"
184,46.9489732,7.3882333,"(46.9489732, 7.3882333)"
109,47.37247535,8.53001018,"(47.37247535, 8.53001018)"
134,47.358557,8.557088,"(47.358557, 8.557088)"
494,45.970197,8.883746,"(45.970197, 8.883746)"
208,45.977309,8.875447,"(45.977309, 8.875447)"
371,46.933433,7.466467,"(46.933433, 7.466467)"
476,46.9459831,7.4394178,"(46.9459831, 7.4394178)"
366,47.407098,8.55033,"(47.407098, 8.55033)"
686,45.8762029265714,8.981280464481735,"(45.8762029265714, 8.981280464481735)"
725,45.90587981635428,8.972694428589046,"(45.90587981635428, 8.972694428589046)"
140,47.366904,8.533736,"(47.366904, 8.533736)"
125,47.378521,8.496727,"(47.378521, 8.496727)"
362,47.37271,8.530437,"(47.37271, 8.530437)"
100,47.368064,8.539046,"(47.368064, 8.539046)"
825,46.95123907638763,7.487040006612239,"(46.95123907638763, 7.487040006612239)"
160,47.385718,8.524762,"(47.385718, 8.524762)"
379,46.008095,8.957432,"(46.008095, 8.957432)"
365,47.388689,8.536433,"(47.388689, 8.536433)"
451,47.381915,8.515252,"(47.381915, 8.515252)"
382,45.972202,8.915525,"(45.972202, 8.915525)"
468,46.94730845562206,7.393210711796317,"(46.94730845562206, 7.393210711796317)"
648,46.949233,7.436822,"(46.949233, 7.436822)"
628,46.00627672,8.94272889,"(46.00627672, 8.94272889)"
221,46.9519742,7.4227466,"(46.9519742, 7.4227466)"
671,46.92898585565497,7.450277590824284,"(46.92898585565497, 7.450277590824284)"
47,46.02398,8.968292,"(46.02398, 8.968292)"
328,46.9417265,7.3930062,"(46.9417265, 7.3930062)"
434,46.0159412,8.9668282,"(46.0159412, 8.9668282)"
388,47.412732,8.544185,"(47.412732, 8.544185)"
95,47.377148,8.523818,"(47.377148, 8.523818)"
294,46.95386,7.4365667,"(46.95386, 7.4365667)"
197,46.9394841,7.3899968,"(46.9394841, 7.3899968)"
782,46.029052,8.969857,"(46.029052, 8.969857)"
183,46.9432034,7.4735436,"(46.9432034, 7.4735436)"
82,47.359675,8.535718,"(47.359675, 8.535718)"
766,46.020826,8.964896,"(46.020826, 8.964896)"
488,46.517009,6.635237,"(46.517009, 6.635237)"
477,46.9616862,7.4396136,"(46.9616862, 7.4396136)"
799,46.80778475,7.1029457,"(46.80778475, 7.1029457)"
177,46.94941743287729,7.381454366484235,"(46.94941743287729, 7.381454366484235)"
215,46.9520639,7.4615809,"(46.9520639, 7.4615809)"
568,47.347701,8.528049,"(47.347701, 8.528049)"
680,46.946852812713296,7.483654624791477,"(46.946852812713296, 7.483654624791477)"
469,46.9450382,7.3791687,"(46.9450382, 7.3791687)"
873,46.85417,9.52839,"(46.85417, 9.52839)"
224,46.9541456,7.4307168,"(46.9541456, 7.4307168)"
537,47.416873,8.555639,"(47.416873, 8.555639)"
128,47.36309,8.51813,"(47.36309, 8.51813)"
780,46.003948,8.961542,"(46.003948, 8.961542)"
436,46.014127,8.959087,"(46.014127, 8.959087)"
153,47.365272,8.52174,"(47.365272, 8.52174)"
559,47.374241,8.525602,"(47.374241, 8.525602)"
864,46.008146,8.969007,"(46.008146, 8.969007)"
662,47.369181,8.505787,"(47.369181, 8.505787)"
284,46.520469823395864,6.630836110862832,"(46.520469823395864, 6.630836110862832)"
35,46.510562,6.499863,"(46.510562, 6.499863)"
437,46.01876,8.96429,"(46.01876, 8.96429)"
821,46.958152075321834,7.492620923918697,"(46.958152075321834, 7.492620923918697)"
716,45.86687922879933,8.983606564693778,"(45.86687922879933, 8.983606564693778)"
